Experiment;Best solution DE
1;5.871177045009554
2;5.804712264998968
3;5.484202190323027
4;5.186416478667938
5;5.3603976636080795
6;5.711286721347524
7;5.408637405482236
8;4.48351466807495
9;5.670694773344432
10;4.720276598617577
11;4.529661348501648
12;5.6132649288863865
13;4.83946209475047
14;5.330307068656873
15;5.2588415969385665
16;5.281899957611277
17;5.07581551385815
18;5.509181285292268
19;5.358288231933395
20;5.354019935908004
21;5.676750953541043
22;5.856691354056214
23;5.467085752829476
24;4.748320705073546
25;5.429150737593256
26;5.508821148642611
27;4.579289576795813
28;5.364699173409844
29;5.383807839619328
30;4.808414773088117
31;4.708741705756516
32;5.759476488505895
33;5.892206842452768
34;4.849474198401385
35;5.687104233935014
36;5.79713265376265
37;5.26596506908213
38;5.3028513227386975
39;5.621128796599375
40;4.426942743806137
41;5.942962302144628
42;5.403833471209587
43;4.912954196100069
44;5.359638684552624
45;4.904212686746588
46;5.782311007114849
47;5.540211504454244
48;5.282070337879355
49;4.6438847377937424
50;4.848386011797059
51;5.802799324890402
52;5.438310828981989
53;5.874268096642845
54;4.002119253422141
55;5.566197486909539
56;5.203359426210744
57;5.324961361780764
58;5.576143034846153
59;5.116069092536236
60;6.142608530328731
61;5.412061637470207
62;5.553690688502718
63;4.585393657565122
64;5.4640050224642325
65;4.5067981730496545
66;5.525503400189597
67;5.058590723032851
68;5.448753149767003
69;5.336488020089927
70;4.807078882027543
71;4.847828966420886
72;4.493226888482283
73;5.869181718804751
74;4.953532553393007
75;5.517184759866203
76;5.684780960319469
77;4.9799307843667435
78;5.726573778755489
79;5.501109080334554
80;5.316324893936325
81;5.577627882879348
82;5.654879787838881
83;5.441947239531928
84;5.478833671378027
85;5.338188150291892
86;5.666679809070371
87;4.539304208489325
88;5.680962157422905
89;4.618850287602224
90;5.538647166274914
91;5.669509247348301
92;5.972096115428083
93;3.4720202110688376
94;5.314448352946235
95;5.964453177875786
96;5.834241212611883
97;5.5489752621446975
98;4.7907381809140315
99;5.106715171421334
100;5.66181842020963
101;5.524715366880484
102;5.95094753345203
103;4.597670810739491
104;5.41670672157377
105;5.316265957473911
106;5.455719096331831
107;4.087296488638193
108;4.951275130057054
109;4.829335675436255
110;4.903002424661468
111;5.438133683283094
112;4.782138505619551
113;4.779119802412532
114;5.98893625764084
115;5.660344184980049
116;4.907468427333248
117;5.455653096907851
118;5.373579633324295
119;5.604111329798218
120;5.4595745719028805
121;4.666944454719971
122;4.806985986773828
123;5.646858084779388
124;5.117019772210623
125;5.248622986135297
126;5.921947369755214
127;4.718757795118535
128;5.341064321788204
129;4.949381773415494
130;4.652321381829146
131;5.394747664840231
132;5.695793941659446
133;5.201014689242416
134;5.457326996828244
135;5.156461745729004
136;4.889023836176774
137;5.078190893916712
138;5.777999130612661
139;3.968512775135705
140;5.612242126920614
141;5.201187275964916
142;5.754729762259703
143;5.807976783778558
144;5.206462790688197
145;5.118503429267902
146;5.088380873425965
147;4.301250019179461
148;5.1408633735388385
149;4.894246674773296
150;4.999525677866176
151;5.590897145749216
152;5.746830680934744
153;5.403817787545384
154;5.504250894592279
155;5.449697185643009
156;5.139255751442657
157;4.639500579358222
158;5.864198705386509
159;5.6497043836658944
160;5.587988347793373
161;5.1622602615535556
162;5.644991021156581
163;5.3840798850272416
164;5.321962517935557
165;5.619016731064618
166;5.330364990825694
167;4.560636856617375
168;5.600802111998403
169;4.658329646980054
170;5.507755326999751
171;4.97289867883206
172;5.4425231407320265
173;5.679632101917947
174;5.011215219955801
175;5.424352759908223
176;5.506671311722913
177;4.273979145710875
178;5.915126766637698
179;4.2629273398629515
180;4.717226695395208
181;5.0630551065752
182;5.620936829381999
183;5.6985441942154775
184;5.019286089469893
185;4.836802761173567
186;5.5844505910483955
187;5.006211572089719
188;4.834568922605465
189;4.871357029372713
190;5.479696119201971
191;4.814687105678265
192;5.469977956277609
193;5.562984474563544
194;4.968001195228764
195;5.583449119595875
196;5.374291322473004
197;5.624633860495149
198;4.760177915352488
199;4.975519949243308
200;5.358515158322284
201;5.538453617928008
202;5.989835043318608
203;5.288092346413801
204;6.0053501049388105
205;5.288497391020648
206;4.9786067818389474
207;5.05283072320436
208;4.947640176721949
209;5.228649283802087
210;5.746599877245777
211;5.770927803187911
212;5.724633614767752
213;5.08278151855733
214;4.924492375257879
215;5.904242985244788
216;5.399590406185655
217;5.205672688512464
218;4.782858382486424
219;4.8282082833233915
220;5.172115720757969
221;5.181499465923155
222;5.361139950376263
223;5.456178554498628
224;5.676085346081082
225;5.13081683836058
226;4.992993945682057
227;4.562823146265256
228;5.852521909316346
229;5.491660520307683
230;5.361533415740582
231;5.08485029332897
232;5.339709614697787
233;4.557073725060909
234;5.0732299587590415
235;5.554022595614026
236;5.357571996183469
237;4.946253484547206
238;4.7378722673008
239;5.445904788336057
240;4.9091900186759405
241;3.9471263077744196
242;5.298525466061847
243;6.071142717959668
244;4.712963690167259
245;5.554037419907553
246;5.501878532581015
247;5.636655635066839
248;5.535007406082852
249;5.000892937013625
250;4.862450742248841
Mean;5.262169843264609
Stddev;0.4454225583720565
