Experiment;Best solution TLBO
119;-2.4857791715582533
120;-2.924167330373296
121;-2.521741274903123
122;-2.7030997182646335
123;-3.3387913001789853
124;-3.184398591367916
125;-3.6670133934338964
126;-1.8815425647487805
127;-2.489024478844005
128;-2.5724310554082965
129;-3.38447911261621
130;-2.5683056056359095
131;-1.548413046634075
132;-4.594586239497298
133;-3.070791675410064
134;-1.6327484699974197
135;-2.8104198756487806
136;-2.45476091500007
137;-2.3893996789880925
138;-1.7392694864693625
139;-1.677062139263781
140;-2.3581324027079607
141;-2.423528041653444
142;-3.406297735784193
143;-2.0276044471261683
144;-2.2532925457851944
145;-3.1609362556093528
146;-1.6260843994088539
147;-3.492343144628339
148;-2.2270701181447157
149;-1.6967083491360848
150;-2.8353798896372244
151;-2.3247013379211143
152;-2.200237638361614
153;-2.7439254532372948
154;-2.9170946644718145
155;-2.3098460451019074
156;-3.763614701492453
157;-3.742505675636254
158;-2.4849494362566196
159;-3.9442852491638822
160;-2.9838355626497304
161;-3.3315000603622185
162;-2.4457620434206957
163;-2.40491863986015
164;-2.861858979440011
165;-0.8954289445322947
166;-2.648883064479125
167;-1.8681678220003015
168;-3.0854501273290906
169;-1.6906253193120109
170;-2.5332188524857284
171;-3.4971220638268403
172;-1.996406132955511
173;-3.3792280732968383
174;-3.382431371097183
175;-3.1647862456425258
176;-3.1608794998781256
177;-3.036019997187247
178;-3.3667715113047696
179;-2.6075345245235946
180;-2.94083284402386
181;-2.496935807538853
182;-2.335453379201753
183;-2.382669039979659
184;-2.014297971921806
185;-2.2270423316261523
186;-2.9750210721224737
187;-3.6920322142189015
188;-3.2273123138973543
189;-2.454326718017885
190;-2.395790224614369
191;-3.1454366250486574
192;-2.153622201229558
193;-2.8828395440905448
194;-3.010846017306681
195;-2.5657860347228354
196;-1.8117831329974468
197;-3.8697377253169503
198;-1.2856355607429837
199;-1.5922260330758513
200;-3.5539816017685975
201;-3.219109652870165
202;-3.217088138293624
203;-2.4767036620261615
204;-2.495090422614243
205;-1.674828936859052
206;-3.701042398087749
207;-2.6853690244343955
208;-3.005177218660599
209;-2.4224339503542933
210;-3.3622015607702034
211;-2.512056540497373
212;-2.5498557836910996
213;-2.4166400678547317
214;-2.8891020579041866
215;-4.356340620560415
216;-1.388354163016348
217;-1.9569508261145794
218;-2.6651712027947596
219;-1.7980930880394224
220;-2.96867463993343
221;-2.5007917062527474
222;-3.3242647798139227
223;-2.1172699236057846
224;-1.8808203232343967
225;-2.624156680031752
226;-2.0417322755884513
227;-1.6845963760604632
228;-3.2296603570775604
229;-2.00013833380116
230;-2.4394133694600457
231;-3.8111507230811807
232;-2.4096029296417276
233;-3.6123990666430044
234;-3.5607473198718185
235;-3.4229626143989713
236;-2.55978433640005
237;-2.7597981361484063
238;-2.6350417867741007
239;-2.4315557227332327
240;-1.3238680391554563
241;-2.2744221956007302
242;-4.496520167101958
243;-2.3234967988560884
244;-2.5668878521708
245;-3.0840620371278886
246;-3.0468834221447896
247;-3.012119403435241
248;-3.8144184134923402
249;-3.964221322337651
250;-5.334884137663181
Mean;-2.782825590271033
Stddev;0.741759233962129
