Experiment;Best solution SOMA
133;-2.436928801068759
134;-2.1091406076981007
135;-1.8304444584289374
136;-1.80874013103524
137;-2.912030326617444
138;-2.457627787825505
139;-2.7627947961229706
140;-2.3445056513964353
141;-3.953575842064449
142;-2.1548302556296415
143;-3.125580737999919
144;-2.923449540791905
145;-3.058120267742646
146;-3.3957623444554716
147;-2.886887238084557
148;-2.9272362986703873
149;-2.2852173678972
150;-4.045548554998318
151;-2.2562867348770603
152;-2.1650994465834352
153;-3.638675095906385
154;-2.8490852334922776
155;-2.868091070365156
156;-5.318634183440653
157;-2.6106801773777297
158;-2.9335102251386114
159;-1.9292650244853404
160;-2.224268641500111
161;-2.0480453782245243
162;-3.05562298553404
163;-3.628575755166572
164;-2.470035024429849
165;-5.120669784395603
166;-2.8746257102662334
167;-2.250183213293832
168;-2.33201042994061
169;-2.8402041438728336
170;-1.9749403402098533
171;-4.896570673096357
172;-4.447929044459517
173;-3.5219643559607436
174;-2.445250964863606
175;-2.2515558765249977
176;-2.198166463622266
177;-2.034967499729977
178;-2.9637136469894036
179;-2.369999946499878
180;-2.4863198117000835
181;-3.855900967348332
182;-2.1207987481397184
183;-2.212464455896564
184;-2.4546295174845065
185;-4.475496781542175
186;-1.977343553509729
187;-2.4618001384493975
188;-2.3159513297011687
189;-3.30135397022288
190;-2.6203998853159445
191;-3.8660456207055476
192;-3.6623373332468683
193;-2.63013989625965
194;-3.3417904011250714
195;-4.0029598007570835
196;-1.968193182431622
197;-1.6856486923321248
198;-2.401139278392619
199;-3.5801041717473843
200;-2.692599799198503
201;-2.667340722736365
202;-2.581489039306786
203;-2.331370537047011
204;-3.861119314422209
205;-2.501680466335644
206;-2.4568243735799977
207;-3.0981381711786375
208;-3.425420474470625
209;-3.6909706444811627
210;-1.427923955032018
211;-2.734891314019496
212;-2.6102505464420167
213;-3.0272232641406656
214;-3.7852536861717274
215;-3.4164274803921586
216;-1.515473665564825
217;-4.184470335332527
218;-2.351641734654966
219;-2.641966671668589
220;-2.476965412950887
221;-2.331386742603656
222;-2.7744712079841327
223;-2.5016347939042363
224;-3.617910872040398
225;-2.9510379075940776
226;-4.262239285891667
227;-2.099367050226605
228;-2.9696420978932396
229;-1.688209816453905
230;-1.4443316551681071
231;-2.83388903956773
232;-3.8293445278954037
233;-2.4975451276771046
234;-3.350028405468277
235;-2.584592121494278
236;-2.0800057335718134
237;-2.4479621551614525
238;-3.024850197360923
239;-2.4686228253694615
240;-2.349947541221625
